trial_id	layer	phase	outcome	tokens_per_sec	ttft_p99_ms	tpot_p99_ms	peak_hbm_gb	kl_divergence	failure_kind	attention_backend	kv_cache_dtype	enable_prefix_caching	enable_chunked_prefill	block_size	max_num_batched_tokens	max_num_seqs	gpu_memory_utilization	quantization	dtype
l1_engine_w0000	l1_engine	warmstart	stale	417.7070257735294	14781.816402096301	104.09110453755892	70.5458984375	2.745206083690888		FLASHINFER	auto	True	True	16	8192	128	0.88	none	bfloat16
l1_engine_w0001	l1_engine	warmstart	failure:startup						startup	FLASH_ATTN	auto	True	False	32	16384	256	0.92	none	bfloat16
l1_engine_w0002	l1_engine	warmstart	failure:startup						startup	FLASHINFER	fp8_e4m3	False	True	16	4096	64	0.85	fp8	float16
l1_engine_w0003	l1_engine	warmstart	failure:startup						startup	TRITON_ATTN	auto	True	False	32	12288	192	0.9	none	bfloat16
l1_engine_o0004	l1_engine	operator	stale	709.7117944688474	1489.9376134527847	99.26445507311396	68.9326171875	2.0293875225716778		FLASHINFER	auto	True	True	32	6144	96	0.86	none	bfloat16
l1_engine_s0005	l1_engine	surrogate	failure:startup						startup	FLASHINFER	fp8_e5m2	False	True	32	2048	256	0.9167235126424775	fp8	bfloat16
l1_engine_s0006	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	False	True	32	8192	64	0.8855295155626819	gptq	float16
l1_engine_s0007	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	True	True	16	16384	256	0.8096221244523177	awq	auto
l1_engine_s0008	l1_engine	surrogate	failure:startup						startup	FLASH_ATTN	fp8	False	True	32	4096	128	0.9220696729553716	awq	float16
l1_engine_o0009	l1_engine	operator	failure:startup						startup	FLASHINFER	auto	True	False	32	8192	128	0.87	none	bfloat16
l1_engine_s0010	l1_engine	surrogate	failure:startup						startup	FLASHINFER	fp8	True	True	16	1024	512	0.8150340330968452	none	bfloat16
l1_engine_s0011	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	False	True	16	16384	32	0.9056621602885299	none	auto
l1_engine_s0012	l1_engine	surrogate	failure:startup						startup	TRITON_ATTN	fp8_e5m2	False	True	32	2048	512	0.9485508421095056	awq	bfloat16
l1_engine_s0013	l1_engine	surrogate	failure:startup						startup	FLASH_ATTN	fp8_e4m3	False	False	32	2048	32	0.8776068660731171	gptq	bfloat16
l2_topology_w0000	l2_topology	warmstart	kept	909.7607797528066	6168.4867193503305	13.443838766326149	0.0	3.806255962747536									0.9		bfloat16
l2_topology_w0001	l2_topology	warmstart	kept	751.4271789966322	8135.9056510496885	110.98544017722206	0.0	2.727284129499202									0.88		bfloat16
l2_topology_w0002	l2_topology	warmstart	kept	862.9481090736695	6213.55596894864	16.08918361129018	0.0	3.820023607600947									0.92		float16
l2_topology_w0003	l2_topology	warmstart	kept	694.2823119640946	8104.078362956644	121.87046353394784	0.0	3.4965968671756285									0.85		bfloat16
l2_topology_o0004	l2_topology	operator	kept	911.6925940741149	1120.5223864875734	1682.679365092578	0.0	2.079452647178015									0.92		bfloat16
l2_topology_s0005	l2_topology	surrogate	kept	749.4538608262274	8166.081899944693	114.36364360087147	0.0	2.430147176302134									0.9156395312601235		bfloat16
