trial_id	layer	phase	outcome	tokens_per_sec	ttft_p99_ms	tpot_p99_ms	peak_hbm_gb	kl_divergence	failure_kind	attention_backend	kv_cache_dtype	enable_prefix_caching	enable_chunked_prefill	block_size	max_num_batched_tokens	max_num_seqs	gpu_memory_utilization	quantization	dtype
l1_engine_o0006	l1_engine	operator	kept	433.1224632907733	16015.159503459	115.08821916167757	70.0166015625	4.144264369879705		FLASHINFER	auto	True	True	32	2048	256	0.87	none	bfloat16
l1_engine_o0012	l1_engine	operator	kept	821.1841393950382	1473.065538131632	131.04935067861018	71.6689453125	4.46275450539331		FLASH_ATTN	auto	True	True	32	4096	128	0.89	none	bfloat16
l1_engine_o0018	l1_engine	operator	failure:startup						startup	FLASHINFER	auto	True	False	32	4096	128	0.88	none	bfloat16
l1_engine_o0024	l1_engine	operator	kept	721.4376165479188	1487.155523179099	101.41479442827386	68.7958984375	3.8516021393993953		FLASHINFER	auto	True	True	16	8192	64	0.86	none	float16
l1_engine_o0030	l1_engine	operator	kept	707.913726891777	1571.0980340559036	112.38073977641741	73.3037109375	4.377928320220855		FLASHINFER	auto	False	True	32	8192	64	0.91	none	float16
l1_engine_o0036	l1_engine	operator	kept	773.34171936991	1457.9019884765148	101.05497609513483	68.0283203125	1.3222011308836001		FLASH_ATTN	auto	True	True	16	8192	64	0.85	none	bfloat16
l1_engine_o0042	l1_engine	operator	kept	737.5162721086235	1397.6290175318718	34.80786963831633	70.8681640625	3.5865558437875804		FLASHINFER	auto	False	True	32	16384	256	0.87	none	bfloat16
l1_engine_o0048	l1_engine	operator	kept	733.9809761851604	1482.406306238845	121.10643825028086	68.5048828125	3.751338930609331		FLASHINFER	auto	True	True	16	4096	128	0.85	none	bfloat16
l1_engine_s0007	l1_engine	surrogate	failure:startup						startup	FLASHINFER	fp8_e5m2	False	True	32	2048	256	0.9167235126424775	fp8	bfloat16
l1_engine_s0008	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	False	True	32	8192	64	0.8855295155626819	gptq	float16
l1_engine_s0009	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	True	True	16	16384	256	0.8096221244523177	awq	auto
l1_engine_s0010	l1_engine	surrogate	failure:startup						startup	FLASH_ATTN	fp8	False	True	32	4096	128	0.9220696729553716	awq	float16
l1_engine_s0011	l1_engine	surrogate	failure:startup						startup	FLASHINFER	fp8	True	True	16	1024	512	0.8150340330968452	none	bfloat16
l1_engine_s0013	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	False	True	16	16384	32	0.9056621602885299	none	auto
l1_engine_s0014	l1_engine	surrogate	failure:startup						startup	TRITON_ATTN	fp8_e5m2	False	True	32	2048	512	0.9485508421095056	awq	bfloat16
l1_engine_s0015	l1_engine	surrogate	failure:startup						startup	FLASH_ATTN	fp8_e4m3	False	False	32	2048	32	0.8776068660731171	gptq	bfloat16
