trial_id	layer	phase	outcome	tokens_per_sec	ttft_p99_ms	tpot_p99_ms	peak_hbm_gb	kl_divergence	failure_kind	attention_backend	kv_cache_dtype	enable_prefix_caching	enable_chunked_prefill	block_size	max_num_batched_tokens	max_num_seqs	gpu_memory_utilization	quantization	dtype
l1_engine_w0000	l1_engine	warmstart	failure:startup						startup	FLASH_ATTN	auto	True	False	16	32768	128	0.9	none	bfloat16
l1_engine_w0001	l1_engine	warmstart	stale	463.13628782927447	14981.36434069369	98.58958595742764	68.0283203125	3.1491821014728365		FLASHINFER	auto	False	True	32	8192	64	0.85	none	bfloat16
l2_topology_w0000	l2_topology	warmstart	stale	896.4675420966003	6251.111431950703	13.559986532357978	0.0	3.452873214169197									0.85		bfloat16
l1_engine_s0002	l1_engine	surrogate	failure:startup						startup	FLASHINFER	fp8_e5m2	True	False	32	2048	64	0.9467927513349146	awq	auto
l1_engine_s0003	l1_engine	surrogate	failure:startup						startup	FLASH_ATTN	fp8_e4m3	False	True	32	8192	64	0.8313315134142252	gptq	float16
l3_kernel_w0000	l3_kernel	warmstart	kept	0.5555763927250433	0.0	0.0	0.0	0.0											bfloat16
l3_kernel_w0001	l3_kernel	warmstart	kept	181.30929253715138	0.0	0.0	0.0	0.0											float16
l3_kernel_w0002	l3_kernel	warmstart	kept	34080.009648802625	0.0	0.0	0.0	0.0											float32
l1_engine_o0004	l1_engine	operator	failure:startup						startup	FLASH_ATTN	auto	True	False	16	32768	128	0.9	none	bfloat16
l1_engine_s0005	l1_engine	surrogate	failure:startup						startup	TRITON_ATTN	auto	True	False	32	8192	256	0.8863919743334269	none	float16
l1_engine_s0006	l1_engine	surrogate	failure:quality_kl						quality_kl	XFORMERS	auto	True	True	16	2048	32	0.9434125452084836	fp8	float16
l1_engine_s0007	l1_engine	surrogate	failure:startup						startup	XFORMERS	fp8_e5m2	True	False	32	8192	512	0.9210978438087516	gptq	float16
l2_topology_s0001	l2_topology	surrogate	kept	738.5373743715411	8436.191664086655	124.69309971202163	0.0	1.241312646244334									0.9156395312601235		bfloat16
